,ExpName,PsNum,Age,Sex,Vision,Date,RunType,Distractor,Target,corrAns,arduino_rt,CurrTrialType,PrevTrialType,CurrAcc,PrevAcc,median_distance,Outlier
651,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Down.png,n,448.0,Congruent,Neutral,Correct,Correct,78.0,False
652,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Right.png,g,287.0,Congruent,Congruent,Correct,Correct,100.0,False
653,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Up.png,Visual_Stimuli/T_Down.png,n,473.0,Incongruent,Congruent,Correct,Correct,68.0,False
654,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Horiz.png,Visual_Stimuli/T_Left.png,f,333.0,Neutral,Incongruent,Correct,Correct,105.0,False
655,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Up.png,j,626.0,Neutral,Neutral,Correct,Correct,222.0,False
656,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Right.png,g,569.0,Incongruent,Neutral,Correct,Correct,192.0,False
657,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Down.png,n,584.0,Neutral,Incongruent,Correct,Correct,175.0,False
658,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Right.png,g,327.0,Congruent,Neutral,Correct,Correct,55.0,False
659,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Up.png,Visual_Stimuli/T_Down.png,n,455.0,Incongruent,Congruent,Correct,Correct,73.0,False
660,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Horiz.png,Visual_Stimuli/T_Right.png,g,672.0,Neutral,Incongruent,Correct,Correct,239.0,False
661,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Up.png,Visual_Stimuli/T_Down.png,n,439.0,Incongruent,Neutral,Correct,Correct,81.0,False
662,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Right.png,g,264.0,Congruent,Incongruent,Correct,Correct,121.0,False
663,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Down.png,n,339.0,Neutral,Congruent,Correct,Correct,84.0,False
664,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Horiz.png,Visual_Stimuli/T_Right.png,g,281.0,Neutral,Neutral,Correct,Correct,124.0,False
665,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Up.png,Visual_Stimuli/T_Up.png,j,383.0,Congruent,Neutral,Correct,Correct,48.0,False
666,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Horiz.png,Visual_Stimuli/T_Left.png,f,305.0,Neutral,Congruent,Correct,Correct,118.0,False
667,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Down.png,n,325.0,Neutral,Neutral,Correct,Correct,80.0,False
668,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Left.png,f,447.0,Congruent,Neutral,Correct,Correct,77.0,False
669,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Up.png,j,487.0,Incongruent,Congruent,Correct,Correct,80.0,False
670,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Right.png,g,329.0,Congruent,Incongruent,Correct,Correct,59.5,False
671,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Up.png,j,537.0,Neutral,Congruent,Correct,Correct,127.0,False
672,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Left.png,f,373.0,Incongruent,Neutral,Correct,Correct,55.0,False
673,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Up.png,j,306.0,Incongruent,Incongruent,Correct,Correct,73.0,False
674,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Right.png,g,329.0,Incongruent,Incongruent,Correct,Correct,50.0,False
675,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Down.png,n,243.0,Neutral,Incongruent,Correct,Correct,195.0,False
676,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Right.png,g,399.0,Congruent,Neutral,Correct,Correct,49.0,False
677,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Up.png,j,371.0,Neutral,Congruent,Correct,Correct,74.0,False
678,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Horiz.png,Visual_Stimuli/T_Left.png,f,327.0,Neutral,Neutral,Correct,Correct,78.0,False
679,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Up.png,Visual_Stimuli/T_Down.png,n,-656.0,Incongruent,Neutral,Distractor Response,Correct,Invalid,Invalid
